parameter,std,value
Phot_RMS_All_Giant_LMT_alpha,0.105548,11.649412
Phot_RMS_All_Giant_LMT_beta,0.002115,0.579346
Phot_RMS_All_Giant_LMT_gamma,0.005160,-1.136999
Phot_RMS_All_Giant_LMT_delta,0.031902,-3.333403
Phot_RMS_All_Dwarf_LMT_alpha,0.373399,11.659163
Phot_RMS_All_Dwarf_LMT_beta,0.029836,0.467188
Phot_RMS_All_Dwarf_LMT_gamma,0.085932,-0.454767
Phot_RMS_All_Dwarf_LMT_delta,0.203548,-1.431741
Phot_RMS_All_Giant_LTg_alpha,0.105015,11.592155
Phot_RMS_All_Giant_LTg_beta,0.005093,-0.557651
Phot_RMS_All_Giant_LTg_gamma,0.040241,1.214584
Phot_RMS_All_Giant_LTg_delta,0.005160,-1.136997
Phot_RMS_All_Dwarf_LTg_alpha,0.374028,11.636198
Phot_RMS_All_Dwarf_LTg_beta,0.068281,0.012419
Phot_RMS_All_Dwarf_LTg_gamma,0.465311,0.387332
Phot_RMS_All_Dwarf_LTg_delta,0.085931,-0.454770
Phot_RMS_All_Giant_Tg_alpha,0.089160,7.525358
Phot_RMS_All_Giant_Tg_beta,0.047349,-1.593993
Phot_RMS_All_Giant_Tg_gamma,0.085931,-0.454770
Phot_RMS_All_Dwarf_Tg_alpha,0.373346,11.634326
Phot_RMS_All_Dwarf_Tg_beta,0.193816,0.463182
Phot_RMS_All_Dwarf_Tg_gamma,0.085931,-0.454770
Phot_RMS_All_Giant_LT_alpha,0.205772,10.815238
Phot_RMS_All_Giant_LT_beta,0.004172,0.373001
Phot_RMS_All_Giant_LT_gamma,0.085931,-0.454770
Phot_RMS_All_Dwarf_LT_alpha,0.380258,12.165637
Phot_RMS_All_Dwarf_LT_beta,0.021601,0.358671
Phot_RMS_All_Dwarf_LT_gamma,0.085931,-0.454770
RV_RMS_All_Giant_LMT_alpha,0.005662,0.579472
RV_RMS_All_Giant_LMT_beta,0.002222,0.588344
RV_RMS_All_Giant_LMT_gamma,0.005007,-1.147237
RV_RMS_All_Giant_LMT_delta,0.032934,-1.552912
RV_RMS_All_Dwarf_LMT_alpha,0.020483,0.633353
RV_RMS_All_Dwarf_LMT_beta,0.030120,0.465882
RV_RMS_All_Dwarf_LMT_gamma,0.086403,-0.453500
RV_RMS_All_Dwarf_LMT_delta,0.204740,0.566806
RV_RMS_All_Giant_LTg_alpha,0.005633,0.576598
RV_RMS_All_Giant_LTg_beta,0.005046,-0.558892
RV_RMS_All_Giant_LTg_gamma,0.041159,3.036032
RV_RMS_All_Giant_LTg_delta,0.005007,-1.147236
RV_RMS_All_Dwarf_LTg_alpha,0.020516,0.632114
RV_RMS_All_Dwarf_LTg_beta,0.068566,0.012379
RV_RMS_All_Dwarf_LTg_gamma,0.467895,2.380821
RV_RMS_All_Dwarf_LTg_delta,0.086404,-0.453497
RV_RMS_All_Giant_Tg_alpha,0.004191,0.338290
RV_RMS_All_Giant_Tg_beta,0.049007,0.163545
RV_RMS_All_Giant_Tg_gamma,0.086404,-0.453497
RV_RMS_All_Dwarf_Tg_alpha,0.020476,0.631996
RV_RMS_All_Dwarf_Tg_beta,0.195104,2.456510
RV_RMS_All_Dwarf_Tg_gamma,0.086404,-0.453497
RV_RMS_All_Giant_LT_alpha,0.009598,0.464887
RV_RMS_All_Giant_LT_beta,0.004473,0.387680
RV_RMS_All_Giant_LT_gamma,0.086404,-0.453497
RV_RMS_All_Dwarf_LT_alpha,0.020839,0.661478
RV_RMS_All_Dwarf_LT_beta,0.021776,0.357073
RV_RMS_All_Dwarf_LT_gamma,0.086404,-0.453497
